u_id,p_id,ncf_score
ryu,a105,6.222724914550781e-05
ryu,f2311,0.00370141863822937
ryu,f179,4.4405460357666016e-06
ryu,e26,0.00016433000564575195
ryu,g84,9.804964065551758e-06
ryu,f410,5.990266799926758e-06
ryu,f263,6.386637687683105e-05
ryu,g1211,1.9669532775878906e-06
ryu,f222,0.006868094205856323
ryu,a42,1.4901161193847656e-07
ryu,b410,0.0021227598190307617
ryu,g42,0.00037986040115356445
ryu,c38,0.005324304103851318
ryu,c43,8.642673492431641e-07
ryu,c712,3.7848949432373047e-06
ryu,605,0.0
ryu,g282,0.0
ryu,c97,3.725290298461914e-06
ryu,1361,0.0001487135887145996
ryu,f2413,3.2782554626464844e-07
ryu,6,0.0
ryu,234,9.137392044067383e-05
ryu,b3211,6.064772605895996e-05
ryu,e811,0.0010638535022735596
ryu,g812,0.000309675931930542
ryu,g62,1.6093254089355469e-06
ryu,f2312,0.0014480352401733398
ryu,f76,1.0728836059570312e-06
ryu,g111,5.2928924560546875e-05
ryu,c36,5.602836608886719e-06
ryu,e28,0.00034922361373901367
ryu,f184,0.0006026625633239746
ryu,d11,5.632638931274414e-06
ryu,e66,1.7881393432617188e-07
ryu,c25,0.0
ryu,948,4.470348358154297e-07
ryu,a28,8.52346420288086e-06
ryu,g1313,0.0
ryu,c173,3.6954879760742188e-06
ryu,g23,0.2438267171382904
ryu,c812,3.6388635635375977e-05
ryu,e414,2.086162567138672e-07
ryu,e69,0.00022405385971069336
ryu,1466,0.000172346830368042
ryu,c99,9.238719940185547e-07
ryu,28,0.0005019307136535645
ryu,e43,0.0
ryu,f41,0.0015786290168762207
ryu,b1413,2.2292137145996094e-05
ryu,f191,5.8710575103759766e-06
ryu,g312,0.00019669532775878906
ryu,b52,0.0006956756114959717
ryu,g41,0.0007604658603668213
ryu,1510,1.3649463653564453e-05
ryu,1384,0.0
ryu,g196,0.008977949619293213
ryu,g1210,0.0
ryu,e212,1.1026859283447266e-06
ryu,f2212,0.014841318130493164
ryu,83,2.1696090698242188e-05
ryu,428,0.00023245811462402344
ryu,c1712,1.519918441772461e-06
ryu,662,2.35140323638916e-05
ryu,d24,7.152557373046875e-07
ryu,850,0.00032150745391845703
ryu,f145,1.1622905731201172e-06
ryu,459,5.453824996948242e-06
ryu,b212,4.470348358154297e-07
ryu,b310,8.046627044677734e-06
ryu,825,0.00028908252716064453
ryu,e10,1.1920928955078125e-07
ryu,a810,1.4394521713256836e-05
ryu,560,8.940696716308594e-08
ryu,f1912,8.448958396911621e-05
ryu,f214,6.794929504394531e-06
ryu,c91,9.238719940185547e-07
ryu,e413,0.0004169642925262451
ryu,g287,0.001635223627090454
ryu,768,2.7120113372802734e-06
ryu,b80,0.00022879242897033691
ryu,156,0.0007784366607666016
ryu,f265,1.1622905731201172e-06
ryu,b2013,0.0
ryu,168,0.0012152493000030518
ryu,b121,3.8743019104003906e-07
ryu,129,0.0020909011363983154
ryu,a55,5.066394805908203e-07
ryu,g132,0.00032910704612731934
ryu,e34,1.4960765838623047e-05
ryu,211,0.0008606910705566406
ryu,f239,0.0004971027374267578
ryu,b247,0.0015658438205718994
ryu,e32,5.9723854064941406e-05
ryu,f276,0.00048357248306274414
ryu,b3311,7.56978988647461e-05
ryu,754,1.6093254089355469e-06
ryu,74,3.2782554626464844e-07
ryu,c47,2.6732683181762695e-05
ryu,583,7.167458534240723e-05
ryu,g135,8.723139762878418e-05
ryu,784,0.0013318657875061035
ryu,c1714,3.2782554626464844e-07
ryu,b153,6.5267086029052734e-06
ryu,1358,0.0024010539054870605
ryu,e79,2.980232238769531e-07
ryu,a310,0.0009064674377441406
ryu,c1410,4.380941390991211e-06
ryu,b29,9.584426879882812e-05
ryu,985,1.7881393432617188e-07
ryu,e29,3.5762786865234375e-06
ryu,g188,0.00014832615852355957
ryu,c84,0.0003027021884918213
ryu,880,7.152557373046875e-07
ryu,f40,0.00030666589736938477
ryu,a210,0.00025132298469543457
ryu,e70,0.00023937225341796875
ryu,b45,0.0015764832496643066
ryu,d213,0.0
ryu,d211,0.001403123140335083
ryu,g1410,5.185604095458984e-06
ryu,773,1.0967254638671875e-05
ryu,c180,0.0008420348167419434
ryu,g141,6.258487701416016e-07
ryu,377,0.0013384521007537842
ryu,931,3.844499588012695e-06
ryu,e75,0.0022980570793151855
ryu,a213,0.00010862946510314941
ryu,368,1.4901161193847656e-07
ryu,g13,0.0005668997764587402
ryu,f231,2.086162567138672e-07
ryu,f610,0.0030595362186431885
ryu,11,0.001494288444519043
ryu,1128,2.086162567138672e-07
ryu,g71,2.9802322387695312e-08
ryu,c12,2.3245811462402344e-06
ryu,a10,1.6987323760986328e-06
ryu,f62,1.7881393432617188e-07
ryu,340,3.272294998168945e-05
ryu,76,0.00432935357093811
ryu,g190,0.0006802380084991455
ryu,703,4.8160552978515625e-05
ryu,f1813,5.781650543212891e-06
ryu,d111,0.0
