p_id,p_name,address,tags,open_time,open_day,category,price,p_rate,link
f197,데일리파티 홍대점,서울 마포구 와우산로17길 25 지하 1층 (우)04049,,칵테일바,"월~금 18:00 ~ 02:00
더보기",f,,0/5,https://place.map.kakao.com/1846504642#comment
f198,패닉이스케이프 목동지점,서울 양천구 신정중앙로 96 4층 (우)07945,,테마카페,,f,,0/5,https://place.map.kakao.com/27178625#comment
f1910,무제한룸카페,서울 마포구 어울마당로 118 3층 (우)04055,,테마카페,,f,,0/5,https://place.map.kakao.com/27273035#comment
f1911,멜팅폼,서울 동대문구 천장산로7길 10-3 지하1층 (우)02449,,테마카페,매일 10:00 ~ 02:00,f,,0/5,https://place.map.kakao.com/1096938565#comment
f1912,더메이즈,서울 강남구 봉은사로18길 76 스타팰리스 3층 (우)06128,방탈출카페,테마카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/27583747#comment
f1913,미스터힐링 잠실새내점,서울 송파구 백제고분로7길 25 3층 (우)05557,,테마카페,"월~금 12:00 ~ 23:30
더보기",f,,0/5,https://place.map.kakao.com/947985225#comment
f200,큐브이스케이프 천호점,서울 강동구 천호대로157길 22 3층 (우)05335,,테마카페,"월,화,수,목,일 10:15 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/1857201893#comment
f201,벌툰 대학로점,서울 종로구 대학로10길 26 5층 (우)03086,,만화카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/704583232#comment
f202,루미룸카페,서울 마포구 어울마당로 74 6층 (우)04041,,테마카페,,f,,0/5,https://place.map.kakao.com/2038125379#comment
f203,놀숲 신촌점,서울 서대문구 명물길 37 지하1층 (우)03776,,북카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/27333576#comment
f204,사쿠란보,서울 마포구 와우산로29마길 10-3 지층 (우)04053,,디저트카페,,f,,0/5,https://place.map.kakao.com/763702289#comment
f206,힐링앤툰,서울 은평구 진흥로 144 동호스카이 지하 102호 (우)03378,,만화카페,매일 11:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/2047684329#comment
f207,데일리파티 홍대점,서울 마포구 와우산로17길 25 지하 1층 (우)04049,,칵테일바,"월~금 18:00 ~ 02:00
더보기",f,,0/5,https://place.map.kakao.com/1846504642#comment
f208,패닉이스케이프 목동지점,서울 양천구 신정중앙로 96 4층 (우)07945,,테마카페,,f,,0/5,https://place.map.kakao.com/27178625#comment
f2010,무제한룸카페,서울 마포구 어울마당로 118 3층 (우)04055,,테마카페,,f,,0/5,https://place.map.kakao.com/27273035#comment
f2011,멜팅폼,서울 동대문구 천장산로7길 10-3 지하1층 (우)02449,,테마카페,매일 10:00 ~ 02:00,f,,0/5,https://place.map.kakao.com/1096938565#comment
