p_id,u_id,u_rate
592,로니 요,5
592,현지 최,3
592,kyuseon,4
592,nanal78878,4
592,강욱 황,3
592,ayul1,5
592,규형 조,5
592,ᄌ ᄀ,4
592,미선 윤,1
592,ruze0201,4
592,jaewonb364,4
592,용마사,4
592,Bora Y,5
592,skkim2017,4
592,Chocogodiva,5
592,루피 원,5
592,cece7474,3
592,asyd01057,5
592,d4833,4
592,younggoung,5
592,didu123,5
592,유림 이,5
592,jisu kim,3
592,Jelsomina,3
592,Hyewon P,4
592,KBR57,4
592,지원 윤,5
592,두혁 양,5
592,미 지,5
592,Ju-yeon Y,4
592,차영박,4
592,지윤 원,5
592,ambition93,4
592,성희 소,5
592,진희 이,1
592,ab4201,4
592,이 제,5
592,Ha Y,4
592,dkfma0657,5
592,지은김2018,5
592,유이717,5
592,v1234skfo,3
592,Eunmi K,4
592,Climber737030,5
592,양순 한,4
592,hjju78,5
592,apple1368,3
592,수진 이,3
592,메가마일,4
592,민영 송,4
592,KYUNGHEE J,4
592,마노,5
592,yusoooooo,4
592,glonsan,5
592,현선 서,5
592,kikikbs,3
592,Kim M,3
592,Stereos,3
592,희주 서,5
592,원정 황,1
592,은숙 박,5
592,sonia0211,4
592,gyuriyunis0210,5
592,MLK,4
592,강한여자,4
592,유진 김,5
592,Michelle N,3
592,혜진 천,4
592,JeKwang Y,3
592,Cherry J,2
592,Mira K,1
592,무원 이,1
592,원 주,1
592,영해 이,1
592,인식 오,1
592,lao717,4
592,JiYoung Abigail C,3
592,세이호,5
592,토끼v,5
592,YimGoon,4
592,은지 김,3
592,지혜 강,3
592,Queen3839,4
592,스텔라 이,2
592,백호50,3
592,arcticnova,4
592,하 로,5
592,혜정 김,5
592,Scenic292381,3
592,민수 이,5
592,giniyi,4
592,건우이2015,5
592,71dkwk,1
592,영지 이,5
592,YoonAh H,3
592,봉태 김,5
592,Jaewon P,3
592,승욱 이,4
592,영은 이,3
592,JIEUN O,5
592,GoPlaces723240,3
592,하민규민규현맘,5
592,원 호,5
592,decreekr,4
592,meenahss,3
592,신똘,2
592,537호진이,4
592,지나 박,3
592,hyunsu110131,5
592,찌 모,5
592,강 성,3
592,단플 T,5
592,hm512dh,4
592,윤희 조,5
592,goosemana,4
592,modudada,3
592,영민 정,1
592,미영 김,5
592,닌자멍멍이,3
592,leeseoungwon24,4
592,passion-jsvc,5
592,정훈 석,5
592,훈범 송,5
592,thgus224,5
592,다은 정,5
592,현철 장,2
592,진범 김,5
592,alaco3,5
592,진황 김,4
