p_id,u_id,u_rate
d210,09_행정_승현,1
a61,Stanislav,5
a61,드미트리,5
a61,양형열,5
c53,황정태,5
f311,별,5
f311,ㅇ,5
a95,밍,5
a95,아이스크림,5
a95,먹방여행*^^*~~,5
e104,김건우,1
e104,Harin Harry Lee,2
e104,김대현,2
e104,자전거탄풍경,5
b321,영남,5
b113,유홍재,4
b113,뽄나,5
b113,MJay Ko 고 민정,3
b113,카카오러,2
b113,고카소,3
a59,박영선,5
a59,전설,4
a59,ludo,1
a59,에이맨,1
a59,김건우,1
a59,ssuu,1
a59,seri414,1
b114,이경준 Black,5
e103,다섯,3
e103,임관혁,5
e103,주연,5
a92,제롱,1
a92,하루,5
a92,lolyiu,1
c54,Jjojo,4
c54,.,1
c54,쥬잉,1
c54,Rom,1
c54,jj,5
a66,아하,5
a66,빅토리아,5
f2212,김복순,1
f2212,양나영,1
f2212,박준렬,1
b1511,웹토리,4
g30,펭수러버,1
g30,🙈,2
c1511,김상영,5
c1511,duri,5
c1511,nanana,5
g90,장승우,1
g90,김지원,5
g90,조성빈,5
f184,쏘다,5
f184,황인용,1
f184,단속반,1
f184,yeah,1
f184,박재용,3
f184,illusion,1
f184,성재,1
f184,복슬복슬알파카,5
f184,뭔들,2
a32,shine,1
a32,bcjhd,5
a32,정옥균,5
a32,cmtk,5
f170,뀰,1
f170,네오,1
f170,rot,1
f170,효기,4
f170,이유진,2
f170,Jun,3
f170,ㅇㅍㄱ,1
f170,JH,3
f170,최정규(Jaykay),4
f170,정남선생,3
f170,SJWi,4
f170,유준명,4
f170,원미,4
f2410,MoMo,5
g64,박호용,5
e56,작지,5
e56,아이유,5
e56,somsa,5
e56,Google,5
e56,에스프레소&크림,5
f514,Ги Хён чхье,1
f514,Th,1
f514,김계승,1
f514,최정삼 designw,5
f514,최귀남,5
e69,세느,5
e69,익명,5
e69,쥐,5
e69,은빛여우,5
e69,오병진,5
f513,S,5
f513,댕댕이,5
f513,hs,5
f513,황다원,5
f513,폭시폭시베이베,1
g63,Circleframe,3
g63,이승형,5
g63,임검제,1
a35,끼끗,1
a35,준수,1
a35,임승균,1
a35,양ㄹㄹ,1
a35,지예서,1
f177,🍰,1
f177,MJay Ko 고 민정,3
f177,찬,5
f177,JA,5
f177,동동,1
f183,김현석,5
f183,.,4
f183,박세정베로니카,5
f183,김종건,5
f183,mh,5
f183,양혜원,5
b147,해당화,5
f148,AH,1
f148,감사,5
f148,손혜린,4
f148,지은,1
f148,1,1
c38,ㅂㄷㅁ,5
c38,hans,5
c38,전희영,5
c38,시저,5
b1110,t,5
f2613,서재현,5
f2613,보라,5
f2613,엘리,5
f2613,안용준,5
f2613,범국,5
e67,양혜진,5
g55,김명근 AnJo,3
c1712,잠오는인생,5
c1712,아그마곰,5
c1712,마리사,3
c1712,명탐정,1
e93,다섯,3
e93,임관혁,5
e93,주연,5
g2011,쥑쥑,1
e58,다영,5
