p_id,u_id,u_rate
b27,ksh,5.0
f265,Hyun,1.0
g3213,이찬,1.0
b18,츄,5.0
b18,wow,5.0
b18,tjqlfkqslwk,2.0
b18,김준성,5.0
b18,댕댕진,5.0
b18,랜턴,4.0
b18,ㅎㅅㅇ,4.0
b18,준호☆James or Junho,5.0
b18,유한영 예은수민맘,5.0
b18,정하연,5.0
b18,랜턴,4.0
b18,ㅎㅅㅇ,4.0
b18,준호☆James or Junho,5.0
b18,유한영 예은수민맘,5.0
b18,정하연,5.0
b18,재명,5.0
b18,JB,5.0
b18,김재경,3.0
b18,박민지,3.0
b18,석우,5.0
b18,김관중(KwanJoong Kim),2.0
b18,💋승권sk짱💋,5.0
b18,MJay Ko 고 민정,3.0
b18,김관중(KwanJoong Kim),2.0
b18,💋승권sk짱💋,5.0
b18,MJay Ko 고 민정,3.0
f2213,공주,5.0
f2213,밍,5.0
a67,원 호,4.0
a67,레오폴드,1.0
a67,김형규,1.0
a67,용가리,1.0
a67,정성영 Paul,3.0
a67,여기별로,1.0
a67,zzzz,5.0
a67,두바쿠,5.0
c55,Ss,1.0
c55,정원석,1.0
c55,윤지상,5.0
g31,최승희,4.0
b1510,강희진,5.0
a93,이채영,1.0
a93,이창렬,1.0
a93,.,1.0
b911,sUNg jONg gEUn,5.0
b911,박정재,5.0
b911,임종민,5.0
c99,김치볶음밥,5.0
c99,박진영,5.0
c99,Su,5.0
c99,해나,5.0
c99,민영,5.0
b112,냐냐,5.0
b112,누리는💓,5.0
b112,북북이,5.0
b112,이지혜,5.0
b112,정남선생,4.0
e105,유령작가,5.0
b320,hs🌴,5.0
d211,Lo샷ve,5.0
c52,김강봉,5.0
c52,‼️,5.0
c52,Kong,5.0
c52,데이지,3.0
f310,빼앰,5.0
f310,MAY,5.0
f310,크크크,5.0
f2214,다다다,2.0
f2214,자양주민,1.0
f2214,믱,1.0
f2214,안경국,5.0
a60,하람이,5.0
a60,신영종,3.0
a60,초밥좋아요,1.0
a60,ssoo,1.0
a60,솔아솔아,4.0
b329,김장환,5.0
a69,박영선,5.0
a69,전설,4.0
a69,ludo,1.0
a69,에이맨,1.0
a69,김건우,1.0
a69,ssuu,1.0
a69,seri414,1.0
g200,Lindsay.Lim.Michaela,5.0
f2010,B,1.0
c64,도영상,5.0
c64,정영옥,5.0
a56,아하,5.0
a56,빅토리아,5.0
f114,괭이,2.0
f114,희정,1.0
f114,이원석,1.0
e32,나며누기,1.0
e32,ㅋㅋㅋㅋ,1.0
e32,토리,2.0
e32,누렁,2.0
g38,제점수는요,5.0
g38,현민,3.0
g238,이오,1.0
g238,루루,1.0
g238,소풍,1.0
b1714,MJay Ko 고 민정,4.0
e35,상우,1.0
e35,혁신을 통한 지속성장!!!,5.0
e35,건담이말을건담,4.0
e35,always,1.0
e35,lotkyu,4.0
a51,Stanislav,5.0
a51,드미트리,5.0
a51,양형열,5.0
f113,여조로,5.0
c63,얏호,5.0
c63,민수,5.0
a104,오성환,1.0
c97,비얌,5.0
c97,카페메니아,2.0
c97,스카이라피스,5.0
b311,이상목,3.0
b183,바람과 나,5.0
b183,나,5.0
g53,lune,1.0
f711,Andy,3.0
f711,엽떡은 신당점,5.0
c37,이유리,5.0
f147,nuny,1.0
f147,이지,4.0
f147,愼其獨 로봇군단진재민ZINJAEMIN,5.0
f147,노랑,5.0
f147,복슬복슬알파카,3.0
g253,익명의 사람,2.0
g253,원국,3.0
b513,유혜빈,5.0
c1714,hj,3.0
c1714,옴뇸뇸 :),5.0
c1714,쥬잉,5.0
e95,유령작가,5.0
f178,박시현,5.0
f178,귤,1.0
f178,젼,5.0
g98,김남호,5.0
g98,ㄹㅇ솔직평가,1.0
c1713,정윤지,5.0
b514,열애사진,5.0
e66,나은,5.0
f2612,박수민,5.0
f2612,이해준,5.0
f2612,김태훈,5.0
f2612,jk Han,5.0
e59,익명,1.0
e59,익명,5.0
e59,장꼭또,5.0
e59,박재만,5.0
b1912,Minhyung,5.0
f182,A,5.0
f182,박병연,1.0
f182,논리와팩트,1.0
f182,핑슐랭가이드,3.0
f182,kfc매니아,2.0
g96,ㄷㄹ,5.0
a1110,솔,1.0
b146,t,5.0
b146,JYK용선생,5.0
b146,마곡사랑08,5.0
g62,(율준♡),1.0
f512,J,4.0
f512,장현,5.0
f512,박찬빈,1.0
f512,막가롱,2.0
f512,손혜린,5.0
a34,깅가라미,1.0
a34,deuxistt!!,2.0
a34,균면성실,1.0
a34,김남천,1.0
a34,제훈,1.0
f176,냠냠이,3.0
f176,eww,2.0
f176,j,2.0
f176,p,3.0
f176,냉철하게판단,4.0
g296,ㅋㅋㅋㅋ,5.0
b179,지원,5.0
b179,박병영,5.0
f149,소영,1.0
f149,냠냠이,4.0
f149,민정,5.0
f149,정인선,1.0
f149,내삶의술,5.0
f149,암바사,5.0
f149,꿀돌순이,5.0
f149,이경윤,5.0
f149,정유철,5.0
f149,미쉘,5.0
f149,불량주부,5.0
b1312,김주영,5.0
a33,아무개,2.0
f171,ㅇㅇ,5.0
f171,냉평,3.0
f171,FRW,2.0
f171,맛박사,5.0
f171,옴뇸뇸,5.0
e57,Jina,1.0
e57,숮2🍑,4.0
e57,흥칫,1.0
e57,임보람,5.0
e57,ㅇㅅㅇ,1.0
c1510,라미,5.0
f185,손,4.0
f185,도민,4.0
f185,만두,3.0
f185,ㄱㅇㅅ,1.0
e68,.,5.0
e68,태,1.0
e68,JkeM,5.0
e68,와사비까까,5.0
e68,랍스얍스,5.0
g239,허스키,1.0
g39,.,1.0
g39,아스라,5.0
g39,맛도사,1.0
g206,이름입력,4.0
b122,Marcellina,5.0
b310,현지훈,4.0
b310,ssong,5.0
b310,하루글라라,5.0
b310,인서아빠,5.0
b310,ㆍ,4.0
e34,폴인럽,5.0
e34,완사,5.0
e34,김동현,5.0
e34,방랑식객,5.0
e34,크림픽시,5.0
e34,장현,4.0
e34,.,2.0
e34,J,2.0
e34,드라프,5.0
e34,드라프,5.0
e34,kk345,5.0
c62,정무진,1.0
c62,봉쥬르,4.0
c62,Jason (양재훈),5.0
c62,이반,1.0
c62,전정우,1.0
a105,이상훈,1.0
a50,하람이,5.0
a50,신영종,3.0
a50,초밥좋아요,1.0
a50,ssoo,1.0
a50,솔아솔아,4.0
f112,🙂,5.0
a57,원 호,4.0
a57,레오폴드,1.0
a57,김형규,1.0
a57,용가리,1.0
a57,정성영 Paul,3.0
a57,여기별로,1.0
a57,zzzz,5.0
a57,두바쿠,5.0
a102,이상훈,1.0
f2011,김예림,3.0
f2011,희,5.0
e33,이딴곳때문에로그인함,1.0
g201,정성수,5.0
c1110,해진,5.0
c1110,호로록,5.0
c1110,ㅇㅅㅇ,5.0
c1110,.,5.0
c1110,시나비바,1.0
c91,미니,5.0
b910,왕谕远,5.0
g37,기무지노상,2.0
g37,김태수,5.0
d210,박진우,4.0
d210,09_행정_승현,1.0
a61,Stanislav,5.0
a61,드미트리,5.0
a61,양형열,5.0
c53,황정태,5.0
f311,별,5.0
f311,ㅇ,5.0
a95,밍,5.0
a95,아이스크림,5.0
a95,먹방여행*^^*~~,5.0
e104,김건우,1.0
e104,Harin Harry Lee,2.0
e104,김대현,2.0
e104,자전거탄풍경,5.0
b321,영남,5.0
b113,유홍재,4.0
b113,뽄나,5.0
b113,MJay Ko 고 민정,3.0
b113,카카오러,2.0
b113,고카소,3.0
a59,박영선,5.0
a59,전설,4.0
a59,ludo,1.0
a59,에이맨,1.0
a59,김건우,1.0
a59,ssuu,1.0
a59,seri414,1.0
b114,이경준 Black,5.0
e103,다섯,3.0
e103,임관혁,5.0
e103,주연,5.0
a92,제롱,1.0
a92,하루,5.0
a92,lolyiu,1.0
c54,Jjojo,4.0
c54,.,1.0
c54,쥬잉,1.0
c54,Rom,1.0
c54,jj,5.0
a66,아하,5.0
a66,빅토리아,5.0
f2212,김복순,1.0
f2212,양나영,1.0
f2212,박준렬,1.0
b1511,웹토리,4.0
g30,펭수러버,1.0
g30,🙈,2.0
c1511,김상영,5.0
c1511,duri,5.0
c1511,nanana,5.0
g90,장승우,1.0
g90,김지원,5.0
g90,조성빈,5.0
f184,쏘다,5.0
f184,황인용,1.0
f184,단속반,1.0
f184,yeah,1.0
f184,박재용,3.0
f184,illusion,1.0
f184,성재,1.0
f184,복슬복슬알파카,5.0
f184,뭔들,2.0
a32,shine,1.0
a32,bcjhd,5.0
a32,정옥균,5.0
a32,cmtk,5.0
f170,뀰,1.0
f170,네오,1.0
f170,rot,1.0
f170,효기,4.0
f170,이유진,2.0
f170,Jun,3.0
f170,ㅇㅍㄱ,1.0
f170,JH,3.0
f170,최정규(Jaykay),4.0
f170,정남선생,3.0
f170,SJWi,4.0
f170,유준명,4.0
f170,원미,4.0
f2410,MoMo,5.0
g64,박호용,5.0
e56,작지,5.0
e56,아이유,5.0
e56,somsa,5.0
e56,Google,5.0
e56,에스프레소&크림,5.0
f514,Ги Хён чхье,1.0
f514,Th,1.0
f514,김계승,1.0
f514,최정삼 designw,5.0
f514,최귀남,5.0
e69,세느,5.0
e69,익명,5.0
e69,쥐,5.0
e69,은빛여우,5.0
e69,오병진,5.0
f513,S,5.0
f513,댕댕이,5.0
f513,hs,5.0
f513,황다원,5.0
f513,폭시폭시베이베,1.0
g63,Circleframe,3.0
g63,이승형,5.0
g63,임검제,1.0
a35,끼끗,1.0
a35,준수,1.0
a35,임승균,1.0
a35,양ㄹㄹ,1.0
a35,지예서,1.0
f177,🍰,1.0
f177,MJay Ko 고 민정,3.0
f177,찬,5.0
f177,JA,5.0
f177,동동,1.0
f183,김현석,5.0
f183,.,4.0
f183,박세정베로니카,5.0
f183,김종건,5.0
f183,mh,5.0
f183,양혜원,5.0
b147,해당화,5.0
f148,AH,1.0
f148,감사,5.0
f148,손혜린,4.0
f148,지은,1.0
f148,1,1.0
c38,ㅂㄷㅁ,5.0
c38,hans,5.0
c38,전희영,5.0
c38,시저,5.0
b1110,t,5.0
f2613,서재현,5.0
f2613,보라,5.0
f2613,엘리,5.0
f2613,안용준,5.0
f2613,범국,5.0
e67,양혜진,5.0
g55,김명근 AnJo,3.0
c1712,잠오는인생,5.0
c1712,아그마곰,5.0
c1712,마리사,3.0
c1712,명탐정,1.0
e93,다섯,3.0
e93,임관혁,5.0
e93,주연,5.0
g2011,쥑쥑,1.0
e58,다영,5.0
b512,wow,5.0
b512,BOY,5.0
b512,천수,5.0
e94,김건우,1.0
e94,Harin Harry Lee,2.0
e94,김대현,2.0
e94,자전거탄풍경,5.0
g52,미식가,5.0
g52,max,1.0
g52,명세인,1.0
g52,hye,1.0
g52,여행,1.0
f710,지후니,5.0
f2614,정유철,5.0
f2614,이하영,2.0
e60,실버,5.0
f146,dkwiv,4.0
f146,조민영,4.0
f146,Yut222,4.0
c36,조북이,5.0
g99,김지해,1.0
g99,최영준,5.0
g299,허스키,1.0
f179,슈미,5.0
f179,예,5.0
f179,크어먼요,5.0
e89,dance,5.0
e89,keepgoing,5.0
a19,박희수,2.0
a19,유려,4.0
a19,simplysimon30,1.0
a19,🕵🏻‍♀️,4.0
g84,한님,5.0
g84,s,5.0
f1611,도헌,5.0
f1611,HEEWON YU,5.0
f1611,율e,5.0
f1611,김영우,5.0
f1611,ssun,5.0
f1611,오현빈,1.0
f1611,신지섭,1.0
f1611,임정민,5.0
f1611,슬기,5.0
f1611,김기현,5.0
f1611,박정훈,5.0
f1611,떵손🙈,5.0
f1611,모아,5.0
f1611,disbw,1.0
f1611,@,1.0
f1611,SSun.,4.0
f1611,simplysimon30,1.0
f1611,dmdmdnd,5.0
f1611,김지현,5.0
f1611,장희정,5.0
f1611,심준우,5.0
f1611,이현주,5.0
f1611,김성은,5.0
f1611,서효원,5.0
f1611,강현지,5.0
f1611,심준우,5.0
f1611,이현주,5.0
f1611,김성은,5.0
f1611,서효원,5.0
f1611,강현지,5.0
f1611,임민선,5.0
f1611,김세희,5.0
f1611,최은별,5.0
f1611,이윤미,5.0
f1611,문은애,5.0
f1611,김혜란,5.0
f1611,oOo,1.0
f1611,오주현,2.0
f1611,Clare,4.0
f1611,roi,5.0
f1611,핑슐랭가이드,5.0
f190,장은영,5.0
f190,임다은,5.0
f190,강 예동,5.0
f190,.,1.0
f190,콩이,2.0
