u_id,p_id,ncf_score
ryu,c139,0.0
ryu,f813,0.0
ryu,c130,0.0
ryu,f32,2.8014183044433594e-06
ryu,f214,0.0
ryu,f213,0.0
ryu,b40,0.0
ryu,f35,0.0
ryu,g138,0.0
ryu,b1810,0.0
ryu,f614,0.0
ryu,f2710,0.0
ryu,f2114,0.0
ryu,c1811,0.0
ryu,f249,0.0
ryu,f225,0.0
ryu,c199,2.3245811462402344e-06
ryu,g196,0.0
ryu,f276,0.0
ryu,b34,0.0
ryu,b410,0.0
ryu,b1811,0.0
ryu,f68,0.0
ryu,f285,0.0
ryu,c1610,0.0
ryu,f2711,0.0
ryu,f271,0.0
ryu,b33,0.0
ryu,g191,0.0
ryu,b93,0.0
ryu,f2113,0.0
ryu,c126,0.0
ryu,f233,0.0
ryu,b78,0.0
ryu,a107,0.0
ryu,b1514,0.0
ryu,f313,0.0
ryu,c69,0.0
ryu,b129,0.0
ryu,f314,0.0
ryu,a90,0.0
ryu,e36,0.0
ryu,c60,0.0
ryu,b3014,0.0
ryu,a52,0.0
ryu,f110,0.0
ryu,b120,0.0
ryu,b312,0.0
ryu,c1911,0.0
ryu,c93,0.0
ryu,a55,0.0
ryu,d212,0.0
ryu,b111,0.0
ryu,e38,0.0
ryu,b912,0.0
ryu,b174,0.0
ryu,e96,0.0
ryu,a39,0.0
ryu,f172,0.0
ryu,b1311,0.0
ryu,f2412,0.0
ryu,g92,0.0
ryu,f186,0.0
ryu,f181,0.0
ryu,b145,0.0
ryu,g61,0.0
ryu,g295,0.0
ryu,a37,0.0
ryu,f175,0.0
ryu,e98,0.0
ryu,a36,0.0
ryu,f174,0.0
ryu,f180,0.0
ryu,c1711,0.0
ryu,f189,0.0
ryu,c1910,0.0
ryu,c66,0.0
ryu,e30,0.0
ryu,b126,0.0
ryu,b314,1.7881393432617188e-07
ryu,c92,0.0
ryu,b313,0.0
ryu,b121,0.0
ryu,e37,0.0
ryu,f111,0.0
ryu,c68,0.0
ryu,c1310,0.0
ryu,a91,0.0
ryu,f2211,0.0
ryu,g69,0.0
ryu,e64,0.0
ryu,g260,0.0
ryu,f2610,0.0
ryu,b144,0.0
ryu,f187,0.0
ryu,a31,0.0
ryu,b3211,0.0
ryu,f2413,0.0
ryu,g67,0.0
ryu,b188,0.0
ryu,b511,0.0
ryu,b175,0.0
ryu,e97,0.0
ryu,e63,0.0
ryu,c35,0.0
ryu,f145,0.0
ryu,a38,0.0
ryu,c32,0.0
ryu,e62,0.0
ryu,f712,0.0
ryu,g912,0.0
ryu,b2014,0.0
ryu,f1710,0.0
ryu,b2013,0.0
ryu,f268,0.0
ryu,g188,0.0
ryu,g1911,0.0
ryu,b258,0.0
ryu,c180,0.0
ryu,e613,0.0
ryu,f188,0.0
ryu,g144,0.0
ryu,b12,0.0
ryu,f76,0.0
ryu,a411,0.0
ryu,f49,0.0
ryu,b2210,0.0
ryu,f40,0.0
ryu,b15,2.849102020263672e-05
ryu,c173,0.0
ryu,c110,0.0
ryu,f234,0.0
ryu,b47,5.066394805908203e-07
ryu,d11,0.0
ryu,f23,0.0
ryu,g111,0.0
ryu,d18,0.0
