name,location,category,tags,reviews,review_link,id
명성황후 조난지,종로구,1.0,#경복궁#관광지#명성황후#역사#역사공부#역사관광지#역사를품은곳,,,89
황학정,종로구,1.0,#관광지#궁술#서울여행#역사#역사공부#역사관광지#역사관광지#역사를품은곳,,,90
세검정 터 (구 세검정),종로구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,91
서울 우정총국,종로구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,92.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d4211969-Reviews-Ujeongchongguk-Seoul.html,92
낙선재,종로구,1.0,#가족여행#고궁#관광지#교과서속여행#낙선재#사계절#수도권#아이와함께,93.csv,,93
대원군별장,종로구,1.0,#관광지#대원군별장#석파정#수도권#역사#역사공부#역사관광지#역사를품은곳,,,94
탑골공원 팔각정,종로구,1.0,#관광지#서울특별시유형문화재#수도권#역사#역사공부#역사관광지,95.csv,,95
해풍부원군윤택영댁재실,중구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속,,,96
극락사(서울),중랑구,1.0,#관광지#불교#불교문화#불교문화#서울사찰#역사#역사속으로#역사이야기,,,97
소림사(서울),종로구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#역사속으로#역사이야기,,,98
순명비유강원석물,광진구,1.0,#관광지#역사#역사공부#역사관광지#역사를품은곳#역사문화#역사문화재,,,99
승동교회,종로구,1.0,#3.1운동#관광지#교회#국내건축물#기독교#승동교회#역사#역사공부,,,100
인왕사(서울),종로구,1.0,#관광지#불교#불교문화#사찰여행#서울사찰#수도권#역사#인왕사,,,101
서울광장,중구,1.0,#관광지#도심여행#복합문화공간#산책하기#산책하기좋은곳#서울광장,102.csv,,102
길상사(서울),성북구,1.0,#관광지#길상사(서울)#불교#불교문화#사찰#사찰여행#산사#수도권,103.csv,,103
관악산 생태공원,관악구,1.0,#관광지#관악산생태공원#데이트코스#도심여행#아이와함께#연인과함께,,,104
쌈지길,종로구,1.0,#관광지#남녀노소#데이트장소추천#복합문화공간#쇼핑#쇼핑거리#수도권,105.csv,,105
조계사(서울),종로구,1.0,#관광지#나홀로여행#불교#불교문화#사찰#산사#역사#역사유적지,106.csv,,106
와룡공원,종로구,1.0,#가족들과 함께#관광지#나들이코스#도시자연공원#와룡공원#종로구,107.csv,,107
보라매공원,동작구,1.0,#걷기길#관광지#보라매공원#산책길#산책하기#산책하기좋은곳#수도권,108.csv,,108
사직공원(서울),종로구,1.0,#관광지#교과서속여행#사직공원(서울)#산책길#산책하기#산책하기좋은곳,109.csv,,109
여의도공원,영등포구,1.0,#관광지#꽃여행#데이트코스#복합문화공간#봄나들이#산책길#산책하기,110.csv,,110
한강시민공원 난지지구(난지한강공원),마포구,1.0,#관광지#나들이#난지한강공원#데이트코스#복합문화공간#연인과함께,,,111
서울 효창공원,용산구,1.0,#관광지#서울효창공원#수도권#역사공부#역사를품은곳#역사속#역사속으로,112.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d15032110-Reviews-Hyochang_Park-Seoul.html,112
서울 석촌동 고분군,송파구,1.0,#걷기길#관광지#교과서속여행#서울석촌동고분군#수도권#역사#역사공부,113.csv,,113
서울 정릉(신덕왕후) [유네스코 세계문화유산],성북구,1.0,#관광지#서울정릉#수도권#아이와함께#역사#역사공부#역사를품은곳,114.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d3805521-Reviews-Jeongneung_Royal_Tomb-Seoul.html,114
불암산,노원구,1.0,#가족여행#관광지#당일치기여행#등산#등산로#불암산#사계절#서울근교여행,115.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d7028450-Reviews-Buramsan_Mountain-Seoul.html,115
용마산,중랑구,1.0,#관광지#나홀로여행#등산#용마산#자연#자연&숲#친구와함께#트레킹,116.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d18995327-Reviews-Yongmasan-Seoul.html,116
수락산,노원구,1.0,#가족여행#관광지#당일치기여행#등산#등산로#사계절#서울근교여행,117.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d14108995-Reviews-Surak_Mountain-Seoul.html,117
강변스파랜드,광진구,1.0,#강변스파랜드#관광지#불한증막#사우나#수도권#연인과함께#연중무휴,118.csv,,118
묘각사(서울),종로구,1.0,#관광지#불교#불교문화#사찰#사찰여행#역사#자연속으로#자연좋은곳,119.csv,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d2255376-Reviews-Naksan_Myogaksa_Temple-Seoul.html,119
