name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
영동설렁탕,서울특별시 서초구 강남대로101안길 24,탕 / 찌개 / 전골,설렁탕,9000,00:00 - 24:00,4.1,48,"수육,설렁탕,김치,노포,오래된한식당,24시,"
천지회관,서울특별시 금천구 가산디지털1로 24 1F,고기 요리,,,월-금: 11:00 - 22:00,,2,
리틀방콕,서울특별시 도봉구 도봉로114길 22,태국 음식,,,11:30 - 22:00,3.4,7,
방배김밥,서울특별시 동작구 동작대로29길 63-5,기타 한식,,,화-토: 06:00 - 18:00 일: 06:00 - 14:00,4.0,32,"사당,유부,김밥,택배,참치김밥,이수역,생활의달인,"
황소곱창구이,서울특별시 양천구 중앙로 292-1,고기 요리,,,월-토: 11:00 - 01:00 일: 11:00 - 24:00,,10,"곱창,발렛가능,"
노리테이블,서울특별시 용산구 녹사평대로40나길 1 B1,회 / 스시,베이크드 홍합,12000,12:00 - 23:00,4.1,210,"2020망고플레이트인기맛집,Noksapyeong,스시롤,Itaewon,일식,2018 인기,친구,송년회,연어,발렛가능,"
이자카야 늘,서울특별시 도봉구 마들로11가길 16,이자카야 / 오뎅 / 꼬치,,,18:00 - 02:00,,1,
챠니스델리,서울특별시 강북구 솔샘로 212 신영빌딩 1F,퓨전 한식,,,월-금: 11:00 - 21:00 토-일: 12:00 - 21:00,,7,
카레시오,서울특별시 관악구 관악로14길 28,돈부리 / 일본 카레 / 벤토,,,,3.6,11,
에이스커피,서울특별시 구로구 경인로31길 84,,,,,,2,
육첩반상,서울특별시 금천구 디지털로10길 9 현대시티아울렛 6F,한정식 / 백반 / 정통 한식,,,월-금 : 11:00 - 20:30 토-일: 10:30 - 21:00,,2,
베이컨시,서울특별시 관악구 봉천로62길 5 B1,이탈리안,,,,4.1,6,
녹원쌈밥,서울특별시 서대문구 연희로25길 22,고기 요리,,,11:30 - 21:30,4.4,38,"2020망고플레이트인기맛집,쌈밥,Yeonhui-dong,수요미식회,고깃집,채식메뉴,보쌈,"
금별맥주,서울특별시 서대문구 연세로11길 14,,,,,4.3,10,"술집추천,"
호우돈,서울특별시 서초구 강남대로 545-15 미주빌딩,고기 요리,,,17:00 - 24:00,4.2,9,"고깃집,"
펀비어킹,서울특별시 강동구 천호옛길 81-1,치킨 / 호프 / 펍,,,16:00 - 03:00,,0,"치킨,"
두배족발,서울특별시 서초구 신반포로47길 61 아남빌딩,고기 요리,,,,4.1,7,"오비라거곰세권매장,족발,"
아띠85도씨베이커리,서울특별시 관악구 쑥고개로 137 1F,베이커리,,,08:00 - 23:30,3.7,41,"서울대,베이커리,빵집,"
채근담,서울특별시 강남구 역삼로98길 23,한정식 / 백반 / 정통 한식,,,11:30 - 21:30,4.3,14,"비건,한정식,Vegan,2020망고플레이트인기맛집,채식메뉴,상견례,맛있는녀석들,"
양자호떡,서울특별시 동대문구 회기로 161 1F,카페 / 디저트,,,14:00 - 23:00,4.2,13,"2020망고플레이트인기맛집,"
막걸리학교,서울특별시 동작구 동작대로25길 41,전통 주점 / 포차,,,17:00 - 01:00,4.0,6,"맛있는안주,감자전,술집,막걸리,전통 주점,"
뽕나무쟁이족발,서울특별시 금천구 가산디지털1로 19 대륭테크노타운 18차 1F,고기 요리,,,10:00 - 23:00,,4,
소장식물전,서울특별시 강서구 방화대로23길 34,,,,,,3,
육회로,서울특별시 양천구 목동중앙북로7가길 58,고기 요리,,,,,0,
야마야,서울특별시 종로구 새문안로3길 12,기타 일식,아고다시 간장 (1인),14900,월-금: 11:00 - 23:30 토-일: 11:00 - 22:00,4.2,104,"일본,명란,나베,"
온도감,서울특별시 도봉구 도당로 66-1,카페 / 디저트,,,12:00 - 22:00,,1,
골목집,서울특별시 영등포구 도림로139가길 11,닭 / 오리 요리,,,첫째/셋째 일,3.4,11,
창고43,서울특별시 영등포구 국제금융로6길 33,고기 요리,창고특안심,41000,10:00 - 22:00,3.7,81,"고기,"
라멘모토,서울특별시 서초구 신반포로 333 조훈빌딩,라멘 / 소바 / 우동,츠케멘 (M),8000,11:00 - 21:30,4.1,104,"라멘,생활의달인,잠원동맛집,강남돈코츠라멘,홀릭픽,Ramen,2020망고플레이트인기맛집,Tonkotsu Ramen,냉라멘,일식,"
도쿄랑데부,서울특별시 양천구 오목로23길 7 1F,베이커리,,,,,3,
계열사,서울특별시 종로구 백석동길 7,닭 / 오리 요리,프라이드치킨,20000,12:00 - 23:30,4.0,121,"생활의달인,후라이드 치킨,옛날통닭,치킨집,Fried Chicken,맥주안주,치맥,2020망고플레이트인기맛집,치킨,수요미식회,"
카페온더플랜,서울특별시 성북구 동소문로22길 39-4,카페 / 디저트,,,08:00 - 05:00,3.4,14,
리틀넥,서울특별시 강남구 도산대로51길 17,브런치 / 버거 / 샌드위치,아보카도 샌드위치,12000,11:00 - 22:00,4.4,142,"Hottest Restaurants,2020망고플레이트인기맛집,오픈 샌드위치,수요미식회,핫플레이스,2017 인기,아보카도,Avocado,라자냐,아보카도,"
듁스커피,서울특별시 마포구 어울마당로2길 10,카페 / 디저트,듁스화이트,4500,월-금: 09:00 - 18:00 토-일: 11:00 - 19:00,4.6,118,"Latte,카페,2018 인기,상수동,라떼,Café,아이스라떼,2020망고플레이트인기맛집,인스타그래머,Instagram,"
브루클린더버거조인트,서울특별시 영등포구 국제금융로2길 24 삼성생명빌딩 1F,브런치 / 버거 / 샌드위치,,,11:00 - 21:30,4.0,14,"2020망고플레이트인기맛집,"
미스사이공,서울특별시 동대문구 한빛로 1,베트남 음식,소고기쌀국수,3900,10:00 - 22:00,,2,"쌀국수,"
스파카나폴리,서울특별시 마포구 양화로6길 28 2F,이탈리안,고르곤졸라,21000,11:30 - 22:00,4.2,147,"이탈리안,홍대,Wood-Fired Pizza,합정역,피자,2020망고플레이트인기맛집,화덕피자,홍대피자맛집,2018 인기,봉골레,"
핸썸베이글,서울특별시 성북구 개운사1길 23,기타 양식,,,월-금: 08:30 - 19:00 토-일: 08:30 - 18:30,3.5,18,"베이글,채식메뉴,샐러드,"
동적불고기,서울특별시 도봉구 도봉로109길 30 1F,고기 요리,,,11:30 - 24:00,3.6,24,"불고기,"
에머이,서울특별시 구로구 디지털로31길 12,베트남 음식,,,11:00 - 22:00,3.2,16,"쌀국수,"
황성,서울특별시 강북구 4.19로 55,정통 중식 / 일반 중식,,,11:30 - 22:00,,7,"정통 중식,"
더족발,서울특별시 강서구 양천로57길 10-20 1F,고기 요리,,,16:00 - 24:00,,8,"매운족발,족발배달,족발,오래된집,보쌈,"
산골닭갈비,서울특별시 광진구 구의강변로7길 5,닭 / 오리 요리,,,11:00 - 23:00,3.5,27,"숨겨진맛집,야외테라스,볶음밥,닭갈비,닭,"
맥반석조개구이,서울특별시 도봉구 도봉로110나길 11,해산물 요리,,,월-금: 17:00 - 01:00 토: 16:30 - 01:00 일: 16:30 - 24:00,,3,"조개구이,"
썸머타이,서울특별시 노원구 노해로77길 14-3,태국 음식,,,11:00 - 22:30,4.3,19,"2020망고플레이트인기맛집,반려견동반가능,"
하나샤브샤브,서울특별시 노원구 동일로203가길 29 브라운스톤중계 1F,탕 / 찌개 / 전골,,,11:00 - 23:00,,6,"채식메뉴,"
독일주택,서울특별시 종로구 대명1길 16-4,치킨 / 호프 / 펍,헤레틱 이블트윈 레드에일,9500,12:00 - 02:00,4.3,99,"와인,혼술,대학로,Daehak-ro,성균관대,2020망고플레이트인기맛집,술집추천,강북,2018 인기,수제맥주,"
십장생베이커리,서울특별시 관악구 관악로6길 94 1F 101호,베이커리,,,09:00 - 21:00,4.0,10,
해주냉면,서울특별시 송파구 올림픽로12길 5-22,국수 / 면 요리,,,11:30 - 21:00,3.6,84,"맛있는녀석들,물냉면,냉면,택배,매운냉면,육수,중독성,맵다,"
봉평메밀막국수,서울특별시 양천구 목동중앙서로 8,국수 / 면 요리,,,10:30 - 21:30,,11,"메밀국수,"
부리토 피아,서울특별시 광진구 능동로16길 51,남미 음식,,,10:00 - 21:00,3.9,6,"멕시칸,타코,부리토,"
백리향,서울특별시 영등포구 63로 50 63빌딩 57F,정통 중식 / 일반 중식,,,11:30 - 22:00,3.7,13,"중국코스요리,정통 중식,상견례,"
멤마이,서울특별시 금천구 디지털로 10길 9 현대시티아울렛 가산점 6F,베트남 음식,,,,,0,
마이브라더스,서울특별시 노원구 공릉로46길 28,카페 / 디저트,,,11:00 - 18:00,,5,"채식메뉴,브런치,"
어글리스토브,서울특별시 중랑구 상봉로 131,브런치 / 버거 / 샌드위치,,,10:30 - 22:00,3.2,17,"아이와함께,브런치,"
돈부리,서울특별시 노원구 동일로 1343,돈부리 / 일본 카레 / 벤토,가츠동,7000,11:30 - 20:00,4.2,83,"돈부리,강북,2018 인기,Sakedon,노원,2020망고플레이트인기맛집,가츠동,노원역맛집,일식,연어,"
주반여름,서울특별시 서대문구 연희맛로 17-13,퓨전 한식,,,,3.9,11,
버거톤,서울특별시 노원구 섬밭로 258 건영백화점 1F,브런치 / 버거 / 샌드위치,,,10:00 - 22:00,4.0,9,"수제버거,"
끼룩,서울특별시 중구 서소문로9길 28 덕수궁 롯데캐슬 101동 1F B104,카페 / 디저트,,,월-금: 08:00 - 20:00 토-일: 09:00 - 19:00,3.9,16,
유야케도쿄,서울특별시 서대문구 이화여대3길 28,까스 요리,,,11:00 - 21:00,4.2,31,"2020망고플레이트인기맛집,"
라플랑끄,서울특별시 용산구 이태원로26길 26,프랑스 음식,샤퀴테리,15000,월-금: 17:00 - 22:00 토-일: 11:30 - 22:00,4.2,170,"가성비,데이트,연인,연말기념,그라탕,Home-Style Cooking Around the World,서울,2018 인기,세계가정식,프랑스 음식,"
로만테이,서울특별시 강남구 선릉로155길 29 신우빌딩,이자카야 / 오뎅 / 꼬치,,,18:00 - 24:00,4.3,20,"에디터,수요미식회,Hot Spot,술집추천,핫플레이스,2018 인기,2020망고플레이트인기맛집,발렛가능,"
버킷리스트,서울특별시 동대문구 경희대로1길 35 1-2F,치킨 / 호프 / 펍,,,17:30 - 03:00,,9,"치킨,칵테일,술집,수제맥주,"
비틀주스,서울특별시 노원구 화랑로 621 서울여자대학교,카페 / 디저트,,,08:30 - 20:00,,1,
한국관,서울특별시 중구 을지로 110-1,고기 요리,,,00:00 - 24:00,4.0,7,"오래된한식당,24시,"
신승반점,인천광역시 중구 차이나타운로44번길 31-3,정통 중식 / 일반 중식,간짜장,7000,11:00 - 21:00,4.0,84,"인천중구맛집,짜장면,정통 중식,2020망고플레이트인기맛집,유니짜장,짬뽕,오래된한식당,중식,2018 인기,탕수육,"
라구뜨,서울특별시 광진구 능동로 90,뷔페,,,07:00 - 21:30,3.7,24,"뷔페,대게,디저트,"
국수찾아닭만리,서울특별시 종로구 돈화문로11길 38,닭 / 오리 요리,,,16:30 - 24:00,4.0,48,"2020망고플레이트인기맛집,"
부자피자,서울특별시 강남구 압구정로10길 35-2,기타 양식,부자 클라시카 피자,19600,11:30 - 22:30,4.3,114,"피자,라자냐,루꼴라,"
고소운,서울특별시 동대문구 휘경로2길 8 2F,카페 / 디저트,,,11:30 - 22:00,3.5,17,
가미분식,서울특별시 서대문구 이화여대8길 2,기타 한식,,,10:00 - 21:30,3.9,26,"일반 분식,오래된한식당,우동,"
배나무집,서울특별시 강동구 동남로 585,닭 / 오리 요리,,,10:00 - 22:00,3.9,9,"테라스,생생정보통,오리고기,오리주물럭,실내낚시터,오리탕,"
고양이똥3,서울특별시 강서구 공항대로45길 30,카페 / 디저트,아메리카노,4000,"


아메리카노
4,000원


",,6,
기린함박스텍,서울특별시 도봉구 도봉로103길 10 1F,스테이크 / 바베큐,,,11:30 - 22:00,,4,
스시카루,서울특별시 서초구 서초대로 275 1F,회 / 스시,점심 스시 코스,70000,11:30 - 22:00,4.1,11,"초밥,"
