u_id,p_id,rating
64,5392,5
64,2457,5
64,1937,3
64,1882,3
64,693,3
64,2270,3
64,1932,3
64,412,5
65,1448,5
65,3838,3
66,1818,5
67,3967,5
68,2899,3
68,5171,3
68,200,5
68,20,3
68,5139,5
68,3115,3
68,3982,5
68,542,3
69,3047,1
69,1987,5
70,1685,5
70,3446,3
70,3440,5
70,4697,3
70,3047,3
70,2632,5
71,3140,5
71,1618,5
72,2260,1
72,1793,1
73,3692,5
74,4038,3
74,3017,5
75,1448,3
75,5330,3
75,1754,5
75,3805,5
76,3811,5
76,3578,5
76,1251,5
76,3745,5
76,919,5
77,4815,5
78,4936,3
79,1658,3
79,4611,5
80,5422,5
81,1932,5
82,3895,5
82,848,5
82,2260,5
82,2177,5
82,2310,3
82,1361,5
82,1926,5
82,4107,5
82,5337,3
82,2723,5
83,200,5
84,2221,5
84,3647,1
84,2528,5
84,3839,1
84,1303,5
85,502,5
85,431,5
85,4028,5
86,1691,5
86,3525,5
87,4184,5
87,102,5
87,1499,5
88,4301,5
88,387,3
89,2538,1
90,5311,5
90,1818,5
90,917,5
91,4917,3
91,2032,5
91,2032,5
91,2737,3
91,464,3
91,4353,5
91,2144,3
91,358,1
91,1207,1
91,487,1
91,4651,3
91,3113,3
91,5375,3
91,1879,3
91,3431,3
91,2632,3
91,4169,3
91,3379,5
91,4557,3
91,3145,3
91,5062,3
91,262,3
91,1780,5
91,1216,1
91,2807,1
91,2195,1
91,537,1
91,362,3
91,2979,5
91,4586,3
91,643,3
91,3875,3
91,1669,1
91,148,3
91,3912,1
92,2606,5
93,2464,3
93,3797,5
94,148,5
94,832,5
94,2665,5
94,2032,5
95,609,1
96,916,5
97,3705,5
97,3292,5
97,3043,3
97,405,5
97,3428,3
97,570,5
97,2042,3
97,1019,5
97,4164,5
98,4651,3
99,2231,5
99,2478,5
100,4223,3
100,1699,1
101,1781,5
101,3852,5
102,2185,5
102,4099,5
102,1633,1
102,3730,5
102,1669,5
103,4813,3
103,5130,4
104,1125,5
104,147,5
104,1219,5
104,1164,5
104,4758,5
104,4908,5
104,3928,5
104,4385,5
104,1898,1
104,516,5
104,4908,5
104,2528,5
104,4223,5
104,3243,5
104,2577,5
104,2146,1
104,1535,5
105,104,3
105,289,1
106,5380,3
106,2610,5
106,1225,1
106,2584,3
106,1367,5
106,740,3
107,1877,3
108,247,3
108,2984,1
108,3729,3
108,5457,3
108,4889,5
108,5258,3
