name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
은행골,서울특별시 마포구 서교동 409-14,,특미초밥,10000,{'매일': '정오 12시 - 오후 11시 '},,,"점심식사,저녁식사,데이트,혼밥,식사모임,혼술,술모임,회식,기념일,아침식사,다이어트식단,실버푸드,배달,가족외식,야식,접대,서민적인,가성비좋은,캐주얼한,숨은맛집,시끌벅적한,깔끔한,지역주민이 찾는,조용한,고급스러운,푸짐한,이국적/이색적,지역주민이찾는,무료주차,주차불가,배달가능"
일마지오 여의도점,서울시 영등포구 여의도동 44-21,,빼쉐,14000,"{'월-금': '오전 11시 30분 - 오후 9시 30분 (연중무휴)', '토/일': '정오 12시 - 오후 9시 30분 '}",,,"저녁식사,식사모임,점심식사,데이트,가족외식,가성비좋은,예쁜,캐주얼한,고급스러운,이국적/이색적,조용한,지역주민이 찾는,깔끔한,푸짐한,경관/야경이 좋은,무료주차"
돈불1971,서울특별시 서대문구 창천동 62-37,,연탄초벌제주오겹살,13000,"{'매일': '오전 11시 30분 - 오후 11시 30분 (라스트오더 오후 11시)', '일요일': '오후 3시 - 오후 11시 30분 (라스트오더 오후 11시)'}",,,"저녁식사,회식,점심식사,술모임,가족외식,식사모임,모임,데이트,서민적인,숨은맛집,푸짐한,지역주민이 찾는,가성비좋은,시끌벅적한"
데블스도어 본점,서울특별시 서초구 반포동 118-6,,Devil's Fried Chicken,25000,"{'월,화,일': '오전 11시 - 오후 11시 ', '수,목': '오전 11시 - 오후 11시 ', '금,토': '오전 11시 - 오전 1시 '}",,,"술모임,데이트,저녁식사,식사모임,회식,점심식사,남자끼리,기념일,여자끼리,혼밥,간식,친구들끼리,차모임,시끌벅적한,이국적/이색적,캐주얼한,고급스러운,깔끔한,경관/야경이 좋은,빈티지,예쁜,지역주민이 찾는,규모가큰,개별룸,무료주차,예약필요,대형룸,주차가능"
란주라미엔,서울특별시 중구 충무로1가 25-14,,해물자장도삭면,7000,{'매일': '오전 11시 - 오후 9시 30분 (연중무휴)'},,,"점심식사,저녁식사,식사모임,데이트,가족외식,혼밥,술모임,회식,남자끼리,명동 맛집,기념일,시끌벅적한,푸짐한,이국적/이색적,가성비좋은,서민적인,캐주얼한,숨은맛집,지역주민이 찾는,깔끔한,현지인,고급스러운,중국인,격식있는,아담한,현장대기필요,주변 발렛주차가능,발렛주차,그런거 없음,주차불가"
코코로식당,서울특별시 금천구 가산동 83-6 2층,,가츠동,7000,"{'월-금': '오전 11시 30분 - 오후 11시 30분 (점심쉬는시간 14:30~17:00)', '토요일': '오전 11시 30분 - 오후 5시 (점심쉬는시간 14:30~17:00)', '휴무일': '매주 일요일 '}",,,"점심식사,저녁식사,술모임,식사모임,혼밥,데이트,회식,조용한,캐주얼한,숨은맛집,깔끔한,지역주민이 찾는"
다케롤,서울특별시 구로구 구로동 186-7,,참치회 스페셜,32000,"{'월-금': '오후 6시 - 자정 12시 ', '토/일': '오후 6시 - 오후 11시 '}",,,"저녁식사,술모임,회식,푸짐한,서민적인,지역주민이 찾는,가성비좋은,캐주얼한,숨은맛집"
소문난식당,서울특별시 영등포구 문래동4가 8-30,,고등어 조림 백반,8000,"{'월-금': '오전 11시 - 오후 8시 ', '토요일': '오전 11시 - 오후 4시 ', '공휴일': '오전 11시 - 오후 4시 ', '쉬는시간 매주 월-금': '오후 4시 - 오후 5시 ', '휴무일': '매주 일요일 '}",,,"점심식사,아침식사,서민적인,숨은맛집,시끌벅적한,가성비좋은"
호남식당,서울특별시 중구 충무로4가 127-16,,야채찜돼지갈비,14000,"{'매일': '정오 12시 - 오후 10시 30분 ', '휴무일': '매주 일요일 '}",,,"저녁식사,술모임,회식,점심식사,식사모임,그냥 맛없음,지역주민이 찾는,서민적인,캐주얼한,시끌벅적한"
타쿠미,서울특별시 강동구 성내3동 429-2,,타쿠미정식,19000,"{'매일': '오전 11시 30분 - 오후 10시 ', '쉬는시간 매일': '오후 3시 30분 - 오후 5시 ', '휴무일': '매주 월요일 '}",,,"점심식사,아담한,시끌벅적한"
