p_name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags,p_id
데이원커피바,서울특별시 용산구 한강대로76길 11-18,카페 / 디저트,,,"

                      식당 홈페이지로 가기
                    
",4.1,7.0,,982
강가네빈대떡,서울특별시 용산구 대사관로24길 27,한정식 / 백반 / 정통 한식,,,월-목: 16:00 - 03:00 금-토: 16:00 - 04:00,4.2,26.0,"2020망고플레이트인기맛집,술집추천,수요미식회,전,막걸리,",200
빈이네곱창,서울특별시 동대문구 하정로3길 6,고기 요리,,,12:00 - 24:00,,2.0,,2241
미성옥,서울특별시 중구 명동길 25-11 1F,탕 / 찌개 / 전골,,,06:00 - 22:00,4.6,66.0,"설렁탕,최자로드,수육,한우,2020망고플레이트인기맛집,택배,노포,오래된한식당,",1784
브레드덕,서울특별시 동작구 상도로30길 39,베이커리,단호박치즈깜빠뉴,6000.0,12:30 - 20:00,4.2,58.0,"전국 빵집,2020망고플레이트인기맛집,Bakery,베이커리추천,베이커리,빵집,빵집추천,",2165
펍피맥,서울특별시 양천구 신목로2길 68 오목빌딩 104호,치킨 / 호프 / 펍,,,17:00 - 02:00,3.1,16.0,"치킨,반려견동반가능,피자,",4913
전호메밀우동,서울특별시 관악구 봉천로 533 1F,국수 / 면 요리,,,월-금: 11:00 - 19:30 토: 11:00 - 16:00,4.1,13.0,"메밀요리,오래된한식당,서울대,우동,",4010
주신당,서울특별시 중구 퇴계로 411,칵테일 / 와인,,,월-목: 12:00 - 02:00 금-토: 12:00 - 03:00,4.2,8.0,,4122
위드램,서울특별시 마포구 독막로14길 24 2F,칵테일 / 와인,,,19:00 - 03:00,4.3,6.0,"2020망고플레이트인기맛집,술집추천,",3658
티앙팡오후의홍차,서울특별시 서대문구 이화여대2가길 19,카페 / 디저트,러시안티,8400.0,12:00 - 22:30,4.4,127.0,"Café,2020망고플레이트인기맛집,이화여대,Scone,Ewha Womans University,밀크티,카페,2018 인기,스콘,가짓수,",4830
갓파스시,서울특별시 구로구 디지털로 288,회 / 스시,,,11:30 - 22:00,3.4,17.0,"초밥,회전초밥,회,",194
스시에라브,서울특별시 강북구 도봉로96길 11,회 / 스시,,,11:30 - 22:00,,2.0,"콜키지가능,초밥,",2776
마포돼지네,서울특별시 도봉구 도당로13길 32,,,,,,1.0,,1463
화상손만두,서울특별시 서대문구 이화여대7길 30 2F,한정식 / 백반 / 정통 한식,,,11:00 - 20:30,4.3,49.0,"2020망고플레이트인기맛집,정통 중식,중식주점,만두,",5377
라구티본,서울특별시 용산구 녹사평대로46길 7,기타 양식,,,17:00 - 22:00,4.1,6.0,"파스타,데이트,2020망고플레이트인기맛집,",1203
달강정앤떡볶이,서울특별시 도봉구 방학로 174,닭 / 오리 요리,,,,,2.0,,819
계탄집,서울특별시 광진구 능동로 31,닭 / 오리 요리,,,17:00 - 00:30,4.3,25.0,"고깃집,2020망고플레이트인기맛집,맛있는녀석들,",291
까미노빵집,서울특별시 강북구 4.19로 61,베이커리,,,10:00 - 21:00,,5.0,"베이커리,빵집,",556
코코부코,서울특별시 마포구 희우정로 72,카페 / 디저트,,,10:00 - 22:00,4.5,25.0,"2020망고플레이트인기맛집,",4619
일미칼국수,서울특별시 서초구 방배중앙로 167,국수 / 면 요리,,,11:00 - 22:30,4.0,14.0,"삼겹살,칼국수,많은반찬,카페,만두,",3890
한일식당,서울특별시 종로구 수표로20길 16-17,한정식 / 백반 / 정통 한식,,,07:00 - 21:40,4.1,15.0,"2020망고플레이트인기맛집,연탄불,오래된한식당,생선구이,고등어,고등어구이,할배맛집,백종원의3대천왕,",5179
소문난기사식당,서울특별시 노원구 동일로192길 30,한정식 / 백반 / 정통 한식,,,00:00 - 24:00,,6.0,"백반,",2561
브릭하우스76,서울특별시 은평구 연서로 40,치킨 / 호프 / 펍,,,화-토: 17:00 - 02:00 일: 17:00 - 24:00,4.0,34.0,"2020망고플레이트인기맛집,술집추천,반려견동반가능,",2181
달구나마카롱,서울특별시 중랑구 면목로 452,카페 / 디저트,,,,,3.0,,820
