tags,p_id,p_rate,link,open_day,price,address,p_name,category,open_time
,c1711,0/5,https://place.map.kakao.com/1911670358#comment,,,"서울 마포구 망원로10길 3 1,2층 (우)04011",글래드위드커피 망원점,c,카페
만화카페,c1712,0/5,https://place.map.kakao.com/254637657#comment,"월,화,수,목,일 10:00 ~ 24:00
더보기",,서울 은평구 연서로29길 6 3층 (우)03330,놀숲 연신내로데오점,c,북카페
,c1713,0/5,https://place.map.kakao.com/1363015196#comment,매일 10:00 ~ 24:00,,서울 강동구 양재대로 1319 대성빌딩 3층 303호 (우)05408,놀숲 둔촌역점,c,북카페
,c1714,0/5,https://place.map.kakao.com/1101338749#comment,매일 10:00 ~ 02:00,,서울 관악구 신림로 321 동진빌딩 지하1층 (우)08776,놀숲 신림역점,c,북카페
"Beat Phobia는 2007년 일본과 헝가리에서
생겨나 세계적으로 유행중인 방탈출 게임입
니다.
기존의 TV나 컴퓨터 게임과 달리 직접 주인공
이 되어 문제를 해결하는 Live Real Activity
입니다.",c172,0/5,https://place.map.kakao.com/1432484184#comment,매일 10:00 ~ 23:00,,서울 종로구 대학로10길 12 5층 (우)03086,비트포비아 대학로점,c,테마카페
,c173,0/5,https://place.map.kakao.com/1666344705#comment,매일 10:00 ~ 02:00,,서울 양천구 중앙로 265 2층 (우)08073,놀숲 신정네거리역점,c,북카페
,c175,0/5,https://place.map.kakao.com/375016533#comment,"매일 10:00 ~ 24:00
더보기",,서울 강남구 테헤란로4길 35 4층 (우)06240,놀숲 강남대성학원점,c,북카페
,c176,0/5,https://place.map.kakao.com/358339557#comment,매일 10:00 ~ 24:00,,서울 동작구 노량진로 176 지하1층 (우)06913,놀숲 노량진점,c,북카페
,c178,0/5,https://place.map.kakao.com/2080200369#comment,,,서울 서초구 사임당로 46 서초제일빌딩 2층 (우)06640,놀숲 교대점,c,북카페
,c179,0/5,https://place.map.kakao.com/800330743#comment,매일 10:00 ~ 02:00,,서울 성동구 마조로 11 3층 (우)04760,놀숲 한양대점,c,북카페
,c18,0/5,https://place.map.kakao.com/528909972#comment,"월~금 11:00 ~ 02:00
더보기",,서울 강서구 마곡중앙로 161-17 보타닉파크타워1 지하1층 B112호 (우)07788,꿀팟만화보드카페,c,만화카페
,c180,0/5,https://place.map.kakao.com/1275752737#comment,매일 10:00 ~ 02:00,,서울 관악구 관악로 155 3층 (우)08787,놀숲 서울대입구역점,c,북카페
만화카페,c181,0/5,https://place.map.kakao.com/1600043703#comment,매일 10:00 ~ 24:00,,서울 관악구 과천대로 941 6층 (우)08807,놀숲 사당역점,c,북카페
,c1810,0/5,https://place.map.kakao.com/330515123#comment,"월~금 09:00 ~ 23:00
더보기",,서울 노원구 공릉로 187 건설빌딩 2층 204~205호 (우)01834,나무늘보북카페,c,북카페
