address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 관악구 관악로16길 25 (우)08788,,술집,,f274,https://place.map.kakao.com/2033931303#comment,0/5,f,스폰서,
서울 노원구 상계로3길 21 (우)01693,,칵테일바,,f276,https://place.map.kakao.com/24786244#comment,0/5,f,비랩 노원점,매일 17:30 ~ 02:30
서울 송파구 올림픽로10길 22 (우)05561,,"호프,요리주점",,f278,https://place.map.kakao.com/151680077#comment,0/5,f,9G라운지펍,"월~금 19:30 ~ 04:00
더보기"
서울 영등포구 여의대방로19길 4-1 지하 1층 (우)07433,,카페,,f279,https://place.map.kakao.com/14516198#comment,0/5,f,라온,"월~금 10:00 ~ 23:00
더보기"
서울 노원구 상계로3길 21 4층 (우)01693,,보드카페,,f28,https://place.map.kakao.com/1944907820#comment,0/5,f,보드스토리 노원점,매일 13:00 ~ 23:30
서울 동대문구 회기로13길 18 1층 (우)02454,,"호프,요리주점",,f281,https://place.map.kakao.com/1575461482#comment,0/5,f,베이스먼트,
"서울 강서구 공항대로 247 퀸즈파크나인 A동 401, 402호 (우)07803",,만화카페,,f283,https://place.map.kakao.com/2021829896#comment,0/5,f,벌툰 마곡발산점,매일 10:00 ~ 23:00
서울 종로구 성균관로6길 4 (우)03074,,커피전문점,,f285,https://place.map.kakao.com/11095596#comment,0/5,f,동우네커피집,
서울 강남구 선릉로161길 17 지하 1층 (우)06018,,테마카페,,f288,https://place.map.kakao.com/21552890#comment,0/5,f,놀이터,
서울 성동구 마조로 7 3층 (우)04760,,보드카페,,f29,https://place.map.kakao.com/1601727740#comment,0/5,f,윙보드게임카페,
서울 관악구 과천대로 947 4층 (우)08807,,보드카페,,f30,https://place.map.kakao.com/26596743#comment,0/5,f,스몰월드,매일 12:00 ~ 23:30
서울 동대문구 이문로 29 광진빌딩 3층 (우)02452,,보드카페,,f31,https://place.map.kakao.com/1488429874#comment,0/5,f,더다이스라떼,"화~금 13:00 ~ 23:00
더보기"
서울 양천구 신월로38길 12 (우)08087,,보드카페,,f310,https://place.map.kakao.com/1645005731#comment,0/5,f,달콤한상상,
서울 송파구 백제고분로45길 7 2층 202호 (우)05621,,보드카페,,f311,https://place.map.kakao.com/1593163003#comment,0/5,f,보드에바나나,"화~일 13:00 ~ 24:00
더보기"
서울 광진구 동일로20길 50 2층 (우)05072,,보드카페,,f312,https://place.map.kakao.com/749433927#comment,0/5,f,모두막 건대점,매일 11:00 ~ 23:00
