address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 광진구 광나루로56길 85 (우)05116,,공원,,b194,https://place.map.kakao.com/8158784#comment,0/5,b,,
서울 구로구 개봉동 195-7,,도시근린공원,,b195,https://place.map.kakao.com/568460422#comment,0/5,b,개봉유수지생태공원,
서울 금천구 독산동 산 9-1,,도시근린공원,,b198,https://place.map.kakao.com/1836235308#comment,0/5,b,독산자연공원,
서울 강남구 일원동 732,대모산과 인접하여 위치한 공원으로서 등산객들이 한솔공원을 거쳐 대모산을 이용하고 있으며 농구장이 있어 청소년들이 많이 이용하고 있다.,도시근린공원,,b1912,https://place.map.kakao.com/11218791#comment,0/5,b,한솔근린공원,
서울 중구 퇴계로36가길 50-8 (우)04626,,도시근린공원,,b200,https://place.map.kakao.com/17385360#comment,0/5,b,남산골공원,
서울 서대문구 연희동,,공원,,b201,https://place.map.kakao.com/26092906#comment,0/5,b,연희숲속쉼터,
서울 노원구 월계동,,도시근린공원,,b209,https://place.map.kakao.com/14653185#comment,0/5,b,석계역문화공원,
서울 성북구 돈암동 606-821,,공원,,b2010,https://place.map.kakao.com/929158713#comment,0/5,b,하늘한마당,
서울 강서구 화곡동,,도시근린공원,,b2013,https://place.map.kakao.com/10985812#comment,0/5,b,호돌이어린이공원,
서울 강남구 역삼동 780-25,,공원,,b2014,https://place.map.kakao.com/362461806#comment,0/5,b,역삼장미공원,
서울 강서구 염창동 24-1,,도시근린공원,,b2210,https://place.map.kakao.com/7998230#comment,0/5,b,염창공원,
서울 마포구 상암동 313-3,,도시근린공원,,b234,https://place.map.kakao.com/19927414#comment,0/5,b,구룡근린공원,
서울 송파구 송파동,,도시근린공원,,b238,https://place.map.kakao.com/8159054#comment,0/5,b,한양공원,
서울 금천구 독산동 373,,공원,,b241,https://place.map.kakao.com/17014439#comment,0/5,b,감로천생태공원,
서울 중랑구 사가정로49길 56 (우)02221,,도시근린공원,,b247,https://place.map.kakao.com/23884920#comment,0/5,b,까치어린이공원,
서울 성동구 성수동1가 685-61,,도시근린공원,,b2410,https://place.map.kakao.com/18223016#comment,0/5,b,뚝섬유수지체육공원,
서울 강동구 성내로3가길 71 (우)05394,,도시근린공원,,b2414,https://place.map.kakao.com/7940849#comment,0/5,b,성내하니공원,
서울 노원구 중계동 508,서울 노원구 중계동에 있는 근린공원,도시근린공원,,b253,https://place.map.kakao.com/7851526#comment,0/5,b,등나무근린공원,
서울 은평구 진관동 175-94,,도시근린공원,,b257,https://place.map.kakao.com/390832#comment,0/5,b,기자촌1구역 근린공원,
서울 강서구 방화동 581-8,,공원,,b258,https://place.map.kakao.com/26131340#comment,0/5,b,새싹어린이교통공원,
서울 송파구 오금동,,도시근린공원,,b2713,https://place.map.kakao.com/7886905#comment,0/5,b,백토공원,
서울 용산구 후암동 190-1,,도시근린공원,,b285,https://place.map.kakao.com/7941030#comment,0/5,b,새나라어린이공원,
서울 강동구 고덕동,,도시근린공원,,b2811,https://place.map.kakao.com/11097358#comment,0/5,b,동명근린체육공원,
서울 용산구 동자동 8-1,,도시근린공원,,b291,https://place.map.kakao.com/16065152#comment,0/5,b,새꿈어린이공원,
서울 양천구 목동중앙본로 73 (우)07953,,도시근린공원,,b292,https://place.map.kakao.com/1243347042#comment,0/5,b,달마을공원,
서울 서대문구 홍은동 산 11-279,,공원,,b2910,https://place.map.kakao.com/27323842#comment,0/5,b,성시경숲,
서울 관악구 남현동 1060-1,,공원,,b2912,https://place.map.kakao.com/1829731791#comment,0/5,b,남현예술정원,
서울 마포구 월드컵로5길 79 (우)04026,,도시근린공원,,b2913,https://place.map.kakao.com/12462060#comment,0/5,b,양화공원,
서울 서초구 잠원동 50-4,,도시근린공원,,b2914,https://place.map.kakao.com/25733755#comment,0/5,b,명주근린공원,
서울 강남구 신사동 597,,도시근린공원,,b301,https://place.map.kakao.com/8242925#comment,0/5,b,신사까치공원,
서울 마포구 대흥동,,도시근린공원,,b303,https://place.map.kakao.com/12462040#comment,0/5,b,노고산동체육공원,
서울 서대문구 연희동 123-5,,공원,,b304,https://place.map.kakao.com/18213217#comment,0/5,b,궁뜰어린이공원,
서울 관악구 낙성대로 42 (우)08790,,도시근린공원,,b305,https://place.map.kakao.com/17384844#comment,0/5,b,덕수공원,
서울 강남구 도곡로77길 22 (우)06203,,도시근린공원,,b3014,https://place.map.kakao.com/7830129#comment,0/5,b,대치목련공원,
서울 서초구 신반포로 9 (우)06501,,도시근린공원,,b320,https://place.map.kakao.com/11212061#comment,0/5,b,한수공원,
서울 영등포구 대림3동 715,,도시근린공원,,b321,https://place.map.kakao.com/8318888#comment,0/5,b,두암어린이공원,
서울 종로구 옥인동 산 3-37,,도시근린공원,,b324,https://place.map.kakao.com/8051379#comment,0/5,b,인왕산공원,
서울 강동구 고덕로 285 (우)05225,,도시근린공원,,b329,https://place.map.kakao.com/8318925#comment,0/5,b,방죽공원,
서울 관악구 봉천동,,공원,,b3211,https://place.map.kakao.com/26176187#comment,0/5,b,일선어린이공원,
서울 동작구 여의대방로24길 29 (우)07055,,공원,,b335,https://place.map.kakao.com/27071527#comment,0/5,b,참새어린이공원,
서울 강북구 수유동,,도시근린공원,,b3311,https://place.map.kakao.com/10442619#comment,0/5,b,수유일공원,
서울 관악구 성현로 91 (우)08723,,공원,,b3312,https://place.map.kakao.com/1600814181#comment,0/5,b,성현드림숲공원,
